"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.462892875E0,2.376174927E-1,2.327926826E1,-3.662523651E1,4.339802694E1
2.472862875E0,-1.136627197E0,2.355116844E1,-3.636846542E1,4.334298944E1
2.482833875E0,-3.197868347E0,2.388733864E1,-3.636112976E1,4.362296490E1
2.492803875E0,-3.507438660E0,2.367959595E1,-3.617792511E1,4.338049856E1
2.502773875E0,-3.379829407E0,2.347845268E1,-3.662815094E1,4.363808461E1
2.512743875E0,-3.128120422E0,2.348463821E1,-3.649689102E1,4.351248584E1
2.522713875E0,-2.772399902E0,2.368810463E1,-3.610456848E1,4.327068716E1
2.532683875E0,-2.620986938E0,2.422985268E1,-3.588898849E1,4.338173381E1
2.542654875E0,-2.620986938E0,2.422985268E1,-3.588898849E1,4.338173381E1
2.552624875E0,-2.284019470E0,2.430085945E1,-3.603944397E1,4.352688866E1
2.562594875E0,-1.956047058E0,2.451656342E1,-3.604294586E1,4.363464161E1
2.572564875E0,-2.125724792E0,2.443579674E1,-3.583615112E1,4.342645041E1
2.582534875E0,-2.399345398E0,2.420837402E1,-3.577708435E1,4.326432706E1
2.592504875E0,-2.542724609E0,2.400956726E1,-3.596799469E1,4.331998858E1
2.602474875E0,-2.600326538E0,2.400373268E1,-3.608938599E1,4.342101636E1
2.612445875E0,-2.459167480E0,2.421042633E1,-3.592226410E1,4.338895373E1
2.622415875E0,-2.212364197E0,2.434094810E1,-3.589264297E1,4.342416527E1
2.632385875E0,-2.361152649E0,2.432434654E1,-3.577158356E1,4.332268536E1
2.642355875E0,-2.248649597E0,2.434294891E1,-3.589213562E1,4.342673124E1
2.652325667E0,-2.574264526E0,2.427244186E1,-3.577000427E1,4.330440483E1
2.662295667E0,-2.476211548E0,2.417918396E1,-3.600135803E1,4.343802874E1
2.672266666E0,-2.323799133E0,2.423545074E1,-3.585493088E1,4.333974139E1
2.682236666E0,-2.326187134E0,2.421386909E1,-3.578868484E1,4.327300043E1
2.692206666E0,-2.206138611E0,2.428676987E1,-3.603343964E1,4.351003344E1
2.702176666E0,-2.268806458E0,2.415113640E1,-3.604421997E1,4.344664159E1
2.712146666E0,-2.192146301E0,2.421986961E1,-3.591985321E1,4.337791424E1
2.722116666E0,-2.133201599E0,2.421152115E1,-3.594922256E1,4.339464147E1
2.732087667E0,-2.223419189E0,2.412511253E1,-3.585146713E1,4.326999357E1
2.742057667E0,-2.156761169E0,2.433359909E1,-3.587712097E1,4.340441766E1
2.752027667E0,-2.160415649E0,2.436793900E1,-3.576361847E1,4.333013100E1
2.761997667E0,-2.229408264E0,2.433570671E1,-3.592850876E1,4.345175053E1
2.771967667E0,-2.214385986E0,2.444935989E1,-3.613592529E1,4.368615114E1
2.781937667E0,-2.280685425E0,2.428179169E1,-3.570606232E1,4.324037257E1
2.791907667E0,-2.126472473E0,2.430821991E1,-3.573112106E1,4.326805349E1
2.801878667E0,-2.220603943E0,2.435219002E1,-3.598546600E1,4.350763156E1
2.811848667E0,-2.211143494E0,2.430409813E1,-3.576528549E1,4.329819844E1
2.821818667E0,-2.207389832E0,2.438780403E1,-3.594611359E1,4.349437478E1
2.831788667E0,-2.237236023E0,2.438328934E1,-3.576708603E1,4.334552419E1
2.841758667E0,-2.140388489E0,2.436766052E1,-3.573769379E1,4.330758478E1
2.851728667E0,-2.200462341E0,2.450435638E1,-3.608091736E1,4.367079246E1
2.861699666E0,-2.168685913E0,2.442662430E1,-3.586537933E1,4.344753857E1
2.871669666E0,-2.147079468E0,2.450065994E1,-3.595140076E1,4.355910357E1
2.881639666E0,-2.174911499E0,2.454304886E1,-3.582793045E1,4.348254923E1
2.891609666E0,-2.279914856E0,2.436268616E1,-3.581035233E1,4.337187824E1
2.901579666E0,-2.264373779E0,2.446348953E1,-3.570690918E1,4.334250883E1
2.911549666E0,-2.168670654E0,2.440576935E1,-3.571351242E1,4.331050311E1
2.921520667E0,-2.166885376E0,2.426630592E1,-3.603477478E1,4.349774694E1
2.931490667E0,-2.166885376E0,2.426630592E1,-3.603477478E1,4.349774694E1
2.941460667E0,-2.173835754E0,2.435537910E1,-3.584057617E1,4.338729023E1
2.951430667E0,-2.401435852E0,2.420567131E1,-3.582751083E1,4.330464121E1
2.961400667E0,-2.455612183E0,2.436837006E1,-3.572472763E1,4.331401222E1
2.971370667E0,-2.326950073E0,2.433208466E1,-3.566577148E1,4.323785721E1
2.981340666E0,-2.337654114E0,2.424709320E1,-3.579981995E1,4.330142334E1
2.991311667E0,-2.232460022E0,2.433210754E1,-3.597658539E1,4.348965430E1
